,GAME_ID,TEAM_ID,TEAM_CITY,TEAM_NAME,PERSON_ID,PLAYER_FIRST,PLAYER_LAST,IN_TIME_REAL,OUT_TIME_REAL,PLAYER_PTS,PT_DIFF,USG_PCT,h_a
0,0052200101,1610612737,Atlanta,Hawks,203991,Clint,Capela,0.0,4310.0,0,6.0,0.0,away
1,0052200101,1610612737,Atlanta,Hawks,203991,Clint,Capela,10950.0,19060.0,2,-7.0,0.143,away
2,0052200101,1610612737,Atlanta,Hawks,203991,Clint,Capela,24200.0,28800.0,2,5.0,0.053,away
3,0052200101,1610612737,Atlanta,Hawks,203992,Bogdan,Bogdanovic,3800.0,10950.0,10,8.0,0.194,away
4,0052200101,1610612737,Atlanta,Hawks,203992,Bogdan,Bogdanovic,13750.0,14193.0,0,-3.0,0.0,away
5,0052200101,1610612737,Atlanta,Hawks,203992,Bogdan,Bogdanovic,17560.0,25630.0,4,5.0,0.182,away
6,0052200101,1610612737,Atlanta,Hawks,1627749,Dejounte,Murray,0.0,5560.0,6,7.0,0.25,away
7,0052200101,1610612737,Atlanta,Hawks,1627749,Dejounte,Murray,8940.0,20740.0,5,-4.0,0.163,away
8,0052200101,1610612737,Atlanta,Hawks,1627749,Dejounte,Murray,24200.0,28800.0,7,5.0,0.263,away
9,0052200101,1610612737,Atlanta,Hawks,1628381,John,Collins,0.0,4210.0,4,6.0,0.176,away
10,0052200101,1610612737,Atlanta,Hawks,1628381,John,Collins,14400.0,19060.0,2,-6.0,0.167,away
11,0052200101,1610612737,Atlanta,Hawks,1628381,John,Collins,24200.0,28800.0,4,5.0,0.158,away
12,0052200101,1610612737,Atlanta,Hawks,1629027,Trae,Young,0.0,3800.0,5,8.0,0.25,away
13,0052200101,1610612737,Atlanta,Hawks,1629027,Trae,Young,5560.0,8940.0,2,6.0,0.294,away
14,0052200101,1610612737,Atlanta,Hawks,1629027,Trae,Young,10950.0,19060.0,12,-7.0,0.314,away
15,0052200101,1610612737,Atlanta,Hawks,1629027,Trae,Young,20740.0,24200.0,4,-3.0,0.267,away
16,0052200101,1610612737,Atlanta,Hawks,1629027,Trae,Young,25630.0,28800.0,2,1.0,0.25,away
17,0052200101,1610612737,Atlanta,Hawks,1629631,De'Andre,Hunter,0.0,5010.0,6,8.0,0.286,away
18,0052200101,1610612737,Atlanta,Hawks,1629631,De'Andre,Hunter,9490.0,13750.0,0,2.0,0.105,away
19,0052200101,1610612737,Atlanta,Hawks,1629631,De'Andre,Hunter,14400.0,14750.0,0,-2.0,1.0,away
20,0052200101,1610612737,Atlanta,Hawks,1629631,De'Andre,Hunter,21600.0,25630.0,0,-3.0,0.125,away
21,0052200101,1610612737,Atlanta,Hawks,1630168,Onyeka,Okongwu,4310.0,10950.0,10,10.0,0.2,away
22,0052200101,1610612737,Atlanta,Hawks,1630168,Onyeka,Okongwu,19060.0,24200.0,2,-3.0,0.048,away
23,0052200101,1610612737,Atlanta,Hawks,1630180,Saddiq,Bey,4210.0,14400.0,11,9.0,0.17,away
24,0052200101,1610612737,Atlanta,Hawks,1630180,Saddiq,Bey,14750.0,17560.0,2,-8.0,0.417,away
25,0052200101,1610612737,Atlanta,Hawks,1630180,Saddiq,Bey,19060.0,21600.0,2,4.0,0.091,away
26,0052200101,1610612737,Atlanta,Hawks,1630180,Saddiq,Bey,22900.0,24200.0,0,-3.0,0.2,away
27,0052200101,1610612737,Atlanta,Hawks,1630180,Saddiq,Bey,25630.0,28800.0,2,1.0,0.167,away
28,0052200101,1610612737,Atlanta,Hawks,1630552,Jalen,Johnson,5010.0,9490.0,4,8.0,0.19,away
29,0052200101,1610612737,Atlanta,Hawks,1630552,Jalen,Johnson,14193.0,14400.0,0,0.0,0.0,away
30,0052200101,1610612737,Atlanta,Hawks,1630552,Jalen,Johnson,19060.0,22900.0,6,0.0,0.5,away
0,0052200101,1610612748,Miami,Heat,200768,Kyle,Lowry,3090.0,5010.0,4,-1.0,0.333,home
1,0052200101,1610612748,Miami,Heat,200768,Kyle,Lowry,5560.0,10310.0,5,-10.0,0.136,home
2,0052200101,1610612748,Miami,Heat,200768,Kyle,Lowry,12300.0,14400.0,10,5.0,0.444,home
3,0052200101,1610612748,Miami,Heat,200768,Kyle,Lowry,18010.0,28800.0,14,-6.0,0.205,home
4,0052200101,1610612748,Miami,Heat,201567,Kevin,Love,4310.0,6370.0,2,-3.0,0.222,home
5,0052200101,1610612748,Miami,Heat,201567,Kevin,Love,14391.0,14400.0,0,0.0,0.0,home
6,0052200101,1610612748,Miami,Heat,202710,Jimmy,Butler,0.0,7200.0,10,-9.0,0.419,home
7,0052200101,1610612748,Miami,Heat,202710,Jimmy,Butler,10310.0,21600.0,11,4.0,0.239,home
8,0052200101,1610612748,Miami,Heat,202710,Jimmy,Butler,24200.0,28800.0,0,-5.0,0.214,home
9,0052200101,1610612748,Miami,Heat,203469,Cody,Zeller,12300.0,12750.0,0,-3.0,0.0,home
10,0052200101,1610612748,Miami,Heat,203469,Cody,Zeller,19060.0,20740.0,2,0.0,0.444,home
11,0052200101,1610612748,Miami,Heat,203506,Victor,Oladipo,7200.0,12300.0,0,-11.0,0.05,home
12,0052200101,1610612748,Miami,Heat,203506,Victor,Oladipo,13750.0,14193.0,0,3.0,0.0,home
13,0052200101,1610612748,Miami,Heat,1628389,Bam,Adebayo,0.0,4310.0,0,-6.0,0.118,home
14,0052200101,1610612748,Miami,Heat,1628389,Bam,Adebayo,6370.0,12300.0,6,-11.0,0.28,home
15,0052200101,1610612748,Miami,Heat,1628389,Bam,Adebayo,12750.0,19060.0,2,14.0,0.087,home
16,0052200101,1610612748,Miami,Heat,1628389,Bam,Adebayo,20740.0,28800.0,4,-2.0,0.111,home
17,0052200101,1610612748,Miami,Heat,1628997,Caleb,Martin,3800.0,10310.0,0,-9.0,0.033,home
18,0052200101,1610612748,Miami,Heat,1628997,Caleb,Martin,12750.0,14193.0,0,8.0,0.167,home
19,0052200101,1610612748,Miami,Heat,1628997,Caleb,Martin,19060.0,25120.0,0,-2.0,0.08,home
20,0052200101,1610612748,Miami,Heat,1628997,Caleb,Martin,25700.0,28800.0,0,-1.0,0.0,home
21,0052200101,1610612748,Miami,Heat,1629216,Gabe,Vincent,0.0,3800.0,0,-8.0,0.071,home
22,0052200101,1610612748,Miami,Heat,1629216,Gabe,Vincent,5010.0,5560.0,3,1.0,0.5,home
23,0052200101,1610612748,Miami,Heat,1629216,Gabe,Vincent,10310.0,12750.0,0,-6.0,0.1,home
24,0052200101,1610612748,Miami,Heat,1629216,Gabe,Vincent,14400.0,19060.0,0,6.0,0.125,home
25,0052200101,1610612748,Miami,Heat,1629216,Gabe,Vincent,21600.0,24200.0,3,7.0,0.125,home
26,0052200101,1610612748,Miami,Heat,1629216,Gabe,Vincent,25120.0,25700.0,0,1.0,0.0,home
27,0052200101,1610612748,Miami,Heat,1629622,Max,Strus,0.0,5560.0,0,-7.0,0.045,home
28,0052200101,1610612748,Miami,Heat,1629622,Max,Strus,10310.0,12750.0,0,-6.0,0.1,home
