,fn,ln,totsec,pts,player_id,team_id,team_abbreviation,pm,game_min
0,Ausar,Thompson,2601,14,1641709,1610612765,DET,4,43.35
1,Jaden,Ivey,2330,34,1631093,1610612765,DET,9,38.833333333333336
2,Cade,Cunningham,2286,32,1630595,1610612765,DET,19,38.1
3,Isaiah,Stewart,1895,8,1630191,1610612765,DET,8,31.583333333333332
4,Jalen,Duren,1791,12,1631105,1610612765,DET,9,29.85
5,Simone,Fontecchio,1392,4,1631323,1610612765,DET,-1,23.2
6,Evan,Fournier,767,2,203095,1610612765,DET,1,12.783333333333333
7,James,Wiseman,721,10,1630164,1610612765,DET,-6,12.016666666666667
8,Marcus,Sasser,350,2,1631204,1610612765,DET,-11,5.833333333333333
9,Malachi,Flynn,267,0,1630201,1610612765,DET,-2,4.45
10,Troy,Brown Jr.,0,0,1628972,1610612765,DET,0,0.0
11,Taj,Gibson,0,0,201959,1610612765,DET,0,0.0
12,Stanley,Umude,0,0,1630649,1610612765,DET,0,0.0
13,Buddy,Boeheim,0,0,1631205,1610612765,DET,0,0.0
14,Tosan,Evbuomwan,0,0,1641787,1610612765,DET,0,0.0
15,Quentin,Grimes,0,0,1629656,1610612765,DET,0,0.0
16,Jared,Rhoden,0,0,1631197,1610612765,DET,0,0.0
17,Mikal,Bridges,2591,13,1628969,1610612751,BKN,-6,43.18333333333333
18,Dennis,Schroder,2315,31,203471,1610612751,BKN,-2,38.583333333333336
19,Dorian,Finney-Smith,2206,13,1627827,1610612751,BKN,7,36.766666666666666
20,Nic,Claxton,2053,15,1629651,1610612751,BKN,3,34.21666666666667
21,Lonnie,Walker IV,1745,21,1629022,1610612751,BKN,-2,29.083333333333332
22,Dennis,Smith Jr.,1414,9,1628372,1610612751,BKN,-2,23.566666666666666
23,Trendon,Watford,686,6,1630570,1610612751,BKN,-2,11.433333333333334
24,Noah,Clowney,580,0,1641730,1610612751,BKN,-3,9.666666666666666
25,Jalen,Wilson,563,2,1630592,1610612751,BKN,-17,9.383333333333333
26,Keita,Bates-Diop,247,2,1628966,1610612751,BKN,-6,4.116666666666666
27,Keon,Johnson,0,0,1630553,1610612751,BKN,0,0.0
28,Cam,Thomas,0,0,1630560,1610612751,BKN,0,0.0
29,Jacob,Gilyard,0,0,1631367,1610612751,BKN,0,0.0
30,Cameron,Johnson,0,0,1629661,1610612751,BKN,0,0.0
31,Jaylen,Martin,0,0,1641798,1610612751,BKN,0,0.0
32,Day'Ron,Sharpe,0,0,1630549,1610612751,BKN,0,0.0
33,Ben,Simmons,0,0,1627732,1610612751,BKN,0,0.0
34,Dariq,Whitehead,0,0,1641727,1610612751,BKN,0,0.0
