,PERIOD,EVT,WALLCLK,CL,DE,LOCX,LOCY,OPT1,OPT2,OPT3,OPT4,MTYPE,ETYPE,OPID,TID,PID,HS,VS,EPID,OFTID,ORD,PTS,diff_a-h
0,1,2,2024-01-11T00:10:46.9000000+00:00,12:00,Start Period,0,-80,0,0,0,0,0,12,,0,0,0,0,,0,20000,0,0
1,1,4,2024-01-11T00:10:48.9000000+00:00,11:57,Jump Ball Horford vs Towns (Brown gains possession),0,-80,0,0,0,0,0,10,1626157,1610612738,201143,0,0,1627759,1610612738,60000,0,0
2,1,7,2024-01-11T00:11:06.8000000+00:00,11:41,[BOS] Holiday Turnover : Out of Bounds - Bad Pass Turnover (1 TO),224,42,0,0,0,0,45,5,,1610612738,201950,0,0,2004,1610612738,70000,0,0
3,1,8,2024-01-11T00:11:29.4000000+00:00,11:30,[BOS] Holiday Foul: Personal (1 PF) (J DeRosa),-120,180,0,0,0,0,1,6,1630162,1610612738,201950,0,0,1155,1610612750,80000,0,0
4,1,10,2024-01-11T00:11:52.7000000+00:00,11:23,[MIN] Alexander-Walker 3pt Shot: Missed,227,99,3,0,0,0,1,2,,1610612750,1629638,0,0,,1610612750,100000,0,0
5,1,11,2024-01-11T00:11:55.7000000+00:00,11:20,[BOS] Horford Rebound (Off:0 Def:1),227,99,0,0,0,0,0,4,,1610612738,201143,0,0,,1610612750,110000,0,0
6,1,12,2024-01-11T00:12:07.2000000+00:00,11:14,[MIN] Anderson Foul: Personal (1 PF) (J DeRosa),-15,75,0,0,0,0,1,6,1628369,1610612750,203937,0,0,1155,1610612738,120000,0,0
7,1,14,2024-01-11T00:12:31.2000000+00:00,11:03,[BOS 3-0] Tatum 3pt Shot: Made (3 PTS) Assist: White (1 AST),224,21,3,0,0,0,1,1,,1610612738,1628369,3,0,1628401,1610612738,140000,3,-3
8,1,16,2024-01-11T00:12:50.4000000+00:00,10:44,[MIN] McDaniels Fadeaway Jump Shot: Missed,55,139,2,0,0,0,63,2,,1610612750,1630183,3,0,,1610612750,160000,0,-3
9,1,17,2024-01-11T00:12:53.4000000+00:00,10:41,[MIN] Anderson Rebound (Off:1 Def:0),55,139,1,0,0,0,0,4,,1610612750,203937,3,0,,1610612750,170000,0,-3
10,1,18,2024-01-11T00:12:56.7000000+00:00,10:37,[MIN] McDaniels Turnaround Jump Shot: Missed,-37,51,2,0,0,0,47,2,,1610612750,1630183,3,0,,1610612750,180000,0,-3
11,1,19,2024-01-11T00:12:57.7000000+00:00,10:36,[BOS] Holiday Rebound (Off:0 Def:1),-37,51,0,0,0,0,0,4,,1610612738,201950,3,0,,1610612750,190000,0,-3
12,1,20,2024-01-11T00:13:04.5000000+00:00,10:30,[BOS] Holiday 3pt Shot: Missed,-136,241,3,0,0,0,80,2,,1610612738,201950,3,0,,1610612738,200000,0,-3
13,1,21,2024-01-11T00:13:06.5000000+00:00,10:28,[MIN] Anderson Rebound (Off:1 Def:1),-136,241,0,0,0,0,0,4,,1610612750,203937,3,0,,1610612738,210000,0,-3
14,1,22,2024-01-11T00:13:15.2000000+00:00,10:20,[MIN 2-3] Anderson Driving Hook Shot: Made (2 PTS),81,60,2,0,0,0,57,1,,1610612750,203937,3,2,,1610612750,220000,2,-1
15,1,23,2024-01-11T00:13:30.8000000+00:00,10:03,[BOS 6-2] Brown 3pt Shot: Made (3 PTS) Assist: Holiday (1 AST),158,193,3,0,0,0,1,1,,1610612738,1627759,6,2,201950,1610612738,230000,3,-4
16,1,25,2024-01-11T00:13:48.9000000+00:00,09:45,[MIN] Alexander-Walker 3pt Shot: Missed,-234,80,3,0,0,0,1,2,,1610612750,1629638,6,2,,1610612750,250000,0,-4
17,1,26,2024-01-11T00:13:50.9000000+00:00,09:43,[BOS] White Rebound (Off:0 Def:1),-234,80,0,0,0,0,0,4,,1610612738,1628401,6,2,,1610612750,260000,0,-4
18,1,27,2024-01-11T00:13:56.0000000+00:00,09:39,[BOS] White Running Pull-Up Jump Shot: Missed,-80,138,2,1,0,0,103,2,,1610612738,1628401,6,2,,1610612738,270000,0,-4
19,1,28,2024-01-11T00:14:00.0000000+00:00,09:35,[MIN] Towns Rebound (Off:0 Def:1),-80,138,0,0,0,0,0,4,,1610612750,1626157,6,2,,1610612738,280000,0,-4
20,1,29,2024-01-11T00:14:13.2000000+00:00,09:21,[MIN] Edwards Turnaround Bank shot: Missed,72,93,2,0,0,0,85,2,,1610612750,1630162,6,2,,1610612750,290000,0,-4
21,1,30,2024-01-11T00:14:15.2000000+00:00,09:19,[BOS] Horford Rebound (Off:0 Def:2),72,93,0,0,0,0,0,4,,1610612738,201143,6,2,,1610612750,300000,0,-4
22,1,31,2024-01-11T00:14:23.1000000+00:00,09:11,[MIN] Alexander-Walker Foul: Shooting (1 PF) (2 FTA) (C Kirkland),15,10,0,0,2,0,2,6,1628369,1610612750,1629638,6,2,2004,1610612738,310000,0,-4
